label	volume	bbox_volume	sphericity	surface_area	convex_volume	num_pixels	area	area_bbox	area_convex	equivalent_diameter_area	euler_number	extent	feret_diameter_max	area_filled	axis_major_length	axis_minor_length	solidity
33	3441.0	9338	0.7124830079520804	1547.0323486328125	4879.0	3441	3441.0	9338.0	4879.0	18.73104541170916	1	0.3684943242664382	32.77193921634788	3441.0	25.87983679871359	15.423010581278723	0.7052674728427957
34	455.0	1600	0.7032527557290372	406.79937744140625	665.0	455	455.0	1600.0	665.0	9.542692395972834	1	0.284375	16.792855623746664	455.0	14.067486495624328	8.785074616558868	0.6842105263157895
35	221214.0	952476	0.5853098497625182	30220.8515625	399033.0	221214	221214.0	952476.0	399033.0	75.03628578830475	1	0.23225152129817445	129.634100452003	221214.0	117.23932548745047	67.93016324503746	0.5543752020509581
36	1950.0	6877	0.7316675463165349	1031.6365966796875	2778.0	1950	1950.0	6877.0	2778.0	15.500486517299656	1	0.2835538752362949	31.464265445104548	1950.0	28.90611688903333	10.98920464576702	0.7019438444924406
37	966.0	2016	0.8708853151721899	542.6351318359375	1195.0	966	966.0	2016.0	1195.0	12.264772627240792	1	0.4791666666666667	24.535688292770594	966.0	25.66476118326279	5.964897938458914	0.80836820083682
38	27747.0	75810	0.7228279267775134	6131.8740234375	42073.0	27747	27747.0	75810.0	42073.0	37.56117221056347	1	0.366007123070835	64.28063471995279	27747.0	62.62038088275655	29.364245873729136	0.6594965892615217
39	732.0	1920	0.725195288719992	541.630615234375	977.0	732	732.0	1920.0	977.0	11.181605168786318	1	0.38125	20.12461179749811	732.0	17.016883242113995	7.0771805277086814	0.7492323439099283
40	6064.0	25830	0.6892078639739054	2333.31494140625	9295.0	6064	6064.0	25830.0	9295.0	22.624909816499052	1	0.23476577622919087	44.04543109109048	6064.0	40.41017869240326	13.775064735246197	0.6523937600860678
41	1457.0	3654	0.7678146320435696	809.4700317382812	1771.0	1457	1457.0	3654.0	1771.0	14.065450386084667	1	0.39874110563765736	29.631064780058107	1457.0	29.262602304361412	7.123396321338977	0.8226990400903444
42	9856.0	37553	0.6913065274911906	3215.737548828125	16003.0	9856	9856.0	37553.0	16003.0	26.601167072130924	1	0.2624557292360131	59.94997914928745	9856.0	55.358001345954385	14.489388518863818	0.6158845216521902
43	175.0	450	0.8341874358557764	181.375732421875	209.0	175	175.0	450.0	209.0	6.939792343839249	1	0.3888888888888889	10.488088481701515	175.0	9.356231267213591	4.960504072381978	0.8373205741626795
44	5253.0	15840	0.7593853544224571	1924.391845703125	7334.0	5253	5253.0	15840.0	7334.0	21.567654915788218	1	0.33162878787878786	45.13313638558703	5253.0	44.83646284574451	13.445425073618763	0.7162530679029179
45	18016.0	89232	0.5706804929064112	5823.6689453125	32741.0	18016	18016.0	89232.0	32741.0	32.525195596423096	1	0.20190066343912497	53.55371135598354	18016.0	44.059519061256424	31.929397892875386	0.5502580861916252
46	12617.0	34020	0.7757725709888631	3378.472900390625	16389.0	12617	12617.0	34020.0	16389.0	28.883677921506894	1	0.37087007642563197	51.31276644267	12617.0	49.89212675216888	19.010059914818562	0.7698456281652328
47	450603.0	1375412	0.7048652421630794	40324.97265625	680839.0	450603	450603.0	1375412.0	680839.0	95.11853487725172	-1	0.3276131079269339	172.02906731131225	450603.0	141.17878469505675	69.57977562660527	0.6618348831368356
48	809.0	2200	0.7861982649418137	534.0530395507812	1103.0	809	809.0	2200.0	1103.0	11.560677862454838	1	0.36772727272727274	23.0	809.0	21.07553149706272	8.853173888911492	0.7334542157751587
49	1116.0	2652	0.7409360679476472	702.230224609375	1440.0	1116	1116.0	2652.0	1440.0	12.8693078764282	1	0.42081447963800905	21.283796653792763	1116.0	17.518566837953184	11.08359681747993	0.775
50	5067.0	19305	0.5684755147908841	2509.6103515625	9266.0	5067	5067.0	19305.0	9266.0	21.310031613571734	1	0.2624708624708625	46.06517122512408	5067.0	39.41994892389432	11.8411702984769	0.5468379020073386
51	182164.0	630054	0.6445154212997992	24111.58984375	297972.0	182164	182164.0	630054.0	297972.0	70.33227149953137	0	0.28912442425569873	126.26955294131677	182164.0	118.83243066736986	58.097608993935786	0.611346032513122
